game.key,game.source,game.date,game.number,site.key,season.phase,team.alignment,team.key,opponent.key,R_G,R_W,R_L,R_T,B_G,B_PA,B_AB,B_R,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_GW,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_XI,B_LOB,P_G,P_GS,P_CG,P_SHO,P_CSHO,P_GF,P_W,P_L,P_SV,P_OUT,P_TBF,P_AB,P_R,P_ER,P_H,P_TB,P_2B,P_3B,P_HR,P_HR4,P_BB,P_IBB,P_SO,P_GDP,P_HP,P_SH,P_SF,P_XI,P_WP,P_BK,P_IR,P_IRS,P_GO,P_AO,P_PITCH,P_STRIKE,F_G,F_OUT,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB
NYA191004140,evt,1910-04-14,0,NYC13,R,0,BOS,NYA,1,0,0,1,1,52,49,4,11,14,1,1,0,0,3,,2,0,7,1,0,1,0,1,1,0,6,1,1,0,0,0,1,0,0,0,42,52,48,4,4,11,14,3,0,0,0,1,0,7,0,0,2,1,0,1,0,2,0,20,10,,,1,42,49,34,15,0,0,0,0
NYA191004140,box,1910-04-14,0,NYC13,R,0,BOS,NYA,1,0,0,1,1,,49,4,11,14,1,1,0,,3,,2,0,7,1,0,1,0,1,1,0,6,1,1,0,0,0,1,0,0,0,42,52,48,4,4,11,14,3,0,0,0,1,0,7,0,0,2,1,0,1,0,0,0,0,0,,,1,42,61,42,19,0,0,0,0
NYA191004150,evt,1910-04-15,0,NYC13,R,0,BOS,NYA,1,1,0,0,1,36,31,3,5,6,1,0,0,0,2,,1,0,2,0,0,3,1,1,0,0,6,1,1,1,0,0,0,1,0,0,27,34,30,2,2,7,7,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,15,7,,,1,27,50,27,22,1,0,0,0
NYA191004150,box,1910-04-15,0,NYC13,R,0,BOS,NYA,1,1,0,0,1,,31,3,5,6,1,0,0,,2,,1,0,2,0,0,3,1,1,0,0,6,1,1,1,0,0,0,1,0,0,27,34,30,2,2,7,7,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,,,1,27,50,27,22,1,0,0,0
NYA191004160,evt,1910-04-16,0,NYC13,R,0,BOS,NYA,1,0,1,0,1,37,36,2,9,11,2,0,0,0,2,,0,0,4,0,0,1,0,0,0,0,8,1,1,0,0,0,1,0,1,0,24,36,30,4,3,9,12,0,0,1,0,3,0,3,0,1,2,0,0,0,0,2,0,10,6,,,1,24,41,24,15,2,0,0,0
NYA191004160,box,1910-04-16,0,NYC13,R,0,BOS,NYA,1,0,1,0,1,,36,2,9,11,2,0,0,,2,,0,0,4,0,0,1,0,0,0,0,8,1,1,0,0,0,1,0,1,0,24,36,30,4,3,9,12,0,0,1,0,3,0,3,0,1,2,0,0,0,0,0,0,0,0,,,1,24,41,24,15,2,0,0,0
BOS191004191,evt,1910-04-19,1,BOS06,R,1,BOS,WS1,1,1,0,0,1,33,28,2,5,7,0,1,0,0,2,,1,0,0,1,1,3,0,0,0,0,7,1,1,1,0,0,0,1,0,0,27,34,30,1,1,3,3,0,0,0,0,3,0,5,0,0,1,0,0,1,0,0,0,10,11,,,1,27,37,27,9,1,0,0,0
BOS191004191,box,1910-04-19,1,BOS06,R,1,BOS,WS1,1,1,0,0,1,,28,2,5,7,0,1,0,,2,,1,0,0,1,1,3,0,0,0,0,7,1,1,1,0,0,0,1,0,0,27,34,30,1,1,3,3,0,0,0,0,3,0,5,0,0,1,0,0,1,0,0,0,0,0,,,1,27,37,27,9,1,0,0,0
BOS191004192,evt,1910-04-19,2,BOS06,R,1,BOS,WS1,1,1,0,0,1,35,31,5,9,12,3,0,0,0,5,,2,0,6,0,0,2,0,1,1,0,5,1,1,0,0,0,1,1,0,0,27,39,34,4,0,5,5,0,0,0,0,4,0,6,0,0,1,0,0,0,0,0,0,11,8,,,1,27,43,26,12,5,0,0,0
BOS191004192,box,1910-04-19,2,BOS06,R,1,BOS,WS1,1,1,0,0,1,,31,5,9,12,3,0,0,,5,,2,0,6,0,0,2,0,1,1,0,5,1,1,0,0,0,1,1,0,0,27,39,34,4,0,5,5,0,0,0,0,4,0,6,0,0,1,0,0,0,0,0,0,0,0,,,1,27,45,27,13,5,0,0,0
BOS191004200,evt,1910-04-20,0,BOS06,R,1,BOS,WS1,1,0,1,0,1,38,33,4,8,10,0,1,0,0,3,,1,0,1,1,1,2,1,3,1,0,7,1,1,0,0,0,1,0,1,0,27,43,36,12,9,12,20,3,1,1,1,3,0,3,0,0,3,1,0,0,0,0,0,5,15,,,1,27,40,27,9,4,0,0,0
BOS191004200,box,1910-04-20,0,BOS06,R,1,BOS,WS1,1,0,1,0,1,,33,4,8,10,0,1,0,,3,,1,0,1,1,1,2,1,3,1,0,7,1,1,0,0,0,1,0,1,0,27,43,36,12,9,12,20,3,1,1,0,3,0,3,0,0,3,1,0,0,0,0,0,0,0,,,1,27,40,27,9,4,0,0,0
BOS191004210,evt,1910-04-21,0,BOS06,R,1,BOS,WS1,1,1,0,0,1,38,31,10,10,21,0,1,3,1,10,,4,1,3,0,1,2,0,4,1,0,4,1,1,1,0,0,0,1,0,0,27,37,33,3,2,6,10,0,2,0,0,3,0,2,1,1,0,0,0,0,0,0,0,16,8,,,1,27,32,21,10,1,1,0,0
BOS191004210,box,1910-04-21,0,BOS06,R,1,BOS,WS1,1,1,0,0,1,,31,10,10,21,0,1,3,,10,,4,1,,0,1,2,0,4,1,0,4,1,1,1,0,0,0,1,0,0,27,37,33,3,2,6,10,0,2,0,0,3,0,,1,1,0,0,0,0,0,0,0,0,0,,,1,27,40,27,12,1,1,0,0
BOS191004220,evt,1910-04-22,0,BOS06,R,1,BOS,PHA,1,0,1,0,1,35,29,0,5,6,1,0,0,0,0,,4,0,6,0,1,1,0,2,2,0,8,1,1,1,0,0,0,0,1,0,27,40,35,3,3,7,11,2,1,0,0,3,0,3,0,0,2,0,0,0,0,0,0,14,9,,,1,27,43,27,14,2,0,0,0
BOS191004220,box,1910-04-22,0,BOS06,R,1,BOS,PHA,1,0,1,0,1,,29,0,5,6,1,0,0,,0,,4,0,6,0,1,1,0,2,2,0,8,1,1,1,0,0,0,0,1,0,27,40,35,3,3,7,11,2,1,0,0,3,0,3,0,0,2,0,0,0,0,0,0,0,0,,,1,27,43,27,14,2,0,0,0
BOS191004230,evt,1910-04-23,0,BOS06,R,1,BOS,PHA,1,0,1,0,1,42,40,3,10,14,1,0,1,0,3,,2,0,3,1,0,0,0,2,3,0,6,1,1,1,0,0,0,0,1,0,33,45,39,5,5,10,10,0,0,0,0,5,1,4,0,1,0,0,0,0,0,0,0,10,15,,,1,33,45,33,12,0,2,0,2
BOS191004230,box,1910-04-23,0,BOS06,R,1,BOS,PHA,1,0,1,0,1,,40,3,10,14,1,0,1,,3,,2,0,3,1,0,0,0,2,3,0,6,1,1,1,0,0,0,0,1,0,33,45,39,5,5,10,10,0,0,0,0,5,1,,0,1,0,0,0,0,0,0,0,0,0,,,1,33,45,33,12,0,2,0,2
BOS191004250,evt,1910-04-25,0,BOS06,R,1,BOS,PHA,1,0,1,0,1,41,37,2,12,14,2,0,0,0,2,,2,0,1,0,0,2,0,1,0,0,12,1,1,0,0,0,1,0,1,0,27,35,30,4,3,4,8,1,0,1,0,4,0,5,0,0,1,0,0,0,0,0,0,12,7,,,1,27,43,27,14,2,0,0,1
BOS191004250,box,1910-04-25,0,BOS06,R,1,BOS,PHA,1,0,1,0,1,,37,2,12,14,2,0,0,,2,,2,0,1,0,0,2,0,1,0,0,12,1,1,0,0,0,1,0,1,0,27,35,30,4,3,4,8,1,0,1,0,4,0,5,0,0,1,0,0,0,0,0,0,0,0,,,1,27,43,27,14,2,0,0,1
WS1191004270,evt,1910-04-27,0,WAS08,R,0,BOS,WS1,1,1,0,0,1,46,45,11,21,28,0,2,1,0,10,,0,0,0,1,1,0,0,1,3,0,8,1,1,1,0,0,0,1,0,0,27,37,33,1,1,8,9,1,0,0,0,3,1,2,0,1,0,0,0,0,0,0,0,16,4,,,1,27,28,18,10,0,0,0,0
WS1191004270,box,1910-04-27,0,WAS08,R,0,BOS,WS1,1,1,0,0,1,,45,11,21,28,0,2,1,,10,,0,0,0,1,1,0,0,1,3,0,8,1,1,1,0,0,0,1,0,0,27,37,33,1,1,8,9,1,0,0,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,,,1,27,45,27,18,0,0,0,0
WS1191004280,evt,1910-04-28,0,WAS08,R,0,BOS,WS1,1,0,1,0,1,51,49,1,16,17,1,0,0,0,0,,1,0,12,0,1,0,0,3,1,0,14,1,1,1,0,0,0,0,1,0,35,48,44,2,2,12,13,1,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,19,10,,,1,35,39,24,12,3,1,0,0
WS1191004280,box,1910-04-28,0,WAS08,R,0,BOS,WS1,1,0,1,0,1,,49,1,16,17,1,0,0,,0,,1,0,12,0,1,0,0,3,1,0,14,1,1,1,0,0,0,0,1,0,35,48,44,2,2,12,13,1,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,,,1,35,54,34,17,3,1,0,0
