game.key,game.date,game.number,site.key,team.alignment,team.key,opponent.key,R_G,R_W,R_L,R_T,B_G,B_PA,B_AB,B_R,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_GW,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_XI,B_LOB,P_G,P_GS,P_CG,P_SHO,P_CSHO,P_GF,P_W,P_L,P_SV,P_OUT,P_TBF,P_AB,P_R,P_ER,P_H,P_TB,P_2B,P_3B,P_HR,P_HR4,P_BB,P_IBB,P_SO,P_GDP,P_HP,P_SH,P_SF,P_XI,P_WP,P_BK,P_IR,P_IRS,P_GO,P_AO,P_PITCH,P_STRIKE,F_G,F_OUT,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB
BOS194404180,1944-04-18,0,BOS07,1,BOS,NYA,1,0,1,0,1,,31,0,5,8,1,1,0,,0,,3,,2,0,0,1,0,1,0,0,8,1,1,0,0,0,1,0,1,0,27,38,,3,0,8,,,,1,0,4,,2,,0,3,0,,0,0,,,,,,,1,27,38,27,10,1,2,0,0
BOS194404191,1944-04-19,1,BOS07,1,BOS,NYA,1,1,0,0,1,,29,6,6,8,2,0,0,,5,,8,,3,0,0,1,0,0,0,0,8,1,1,1,0,0,0,1,0,0,27,36,,1,0,9,11,2,0,0,0,1,,2,,0,0,0,,0,0,,,,,,,1,27,46,27,16,3,2,0,0
BOS194404192,1944-04-19,2,BOS07,1,BOS,NYA,1,1,0,0,1,,31,5,11,16,2,0,1,,5,,5,,4,0,1,1,0,0,0,0,9,1,1,1,0,0,0,1,0,0,27,36,,2,0,7,11,1,0,1,0,2,,1,,1,1,0,,0,0,,,,,,,1,27,38,27,11,0,1,0,1
BOS194404192,1944-04-19,2,BOS07,1,BOS,NYA,1,1,0,0,1,38,31,5,11,16,2,0,1,0,5,,5,0,4,0,1,1,0,0,0,0,9,1,1,1,0,0,0,1,0,0,27,36,32,2,2,7,11,1,0,1,0,2,0,1,1,1,1,0,0,0,0,0,0,9,15,,,1,27,36,26,10,0,1,0,1
PHA194404220,1944-04-22,0,PHI11,0,BOS,PHA,1,0,1,0,1,,32,0,5,6,1,0,0,,0,,5,,5,1,0,0,0,0,0,0,10,1,1,1,0,0,0,0,1,0,24,32,,4,0,6,7,1,0,0,0,6,,0,,0,1,0,,2,0,,,,,,,1,24,39,24,13,2,2,0,0
PHA194404220,1944-04-22,0,PHI11,0,BOS,PHA,1,0,1,0,1,37,32,0,5,6,1,0,0,0,0,,5,0,5,1,0,0,0,0,0,0,10,1,1,1,0,0,0,0,1,0,24,32,25,4,4,6,7,1,0,0,0,6,1,0,2,0,1,0,0,2,0,0,0,7,12,,,1,24,39,24,13,2,2,0,0
WS1194404250,1944-04-25,0,WAS09,0,BOS,WS1,1,1,0,0,1,,54,5,16,22,6,0,0,,3,,8,,5,0,1,1,0,3,3,0,17,1,1,0,0,0,1,1,0,0,42,57,,4,0,9,,,,0,0,10,,5,,0,2,0,,1,1,,,,,,,1,42,57,42,14,1,0,0,0
WS1194404260,1944-04-26,0,WAS09,0,BOS,WS1,1,0,1,0,1,,31,1,6,6,0,0,0,,1,,2,,4,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,1,0,24,36,,2,0,7,10,1,1,0,0,6,,1,,0,0,0,,0,0,,,,,,,1,24,36,24,12,0,1,0,0
BOS194404280,1944-04-28,0,BOS07,1,BOS,PHA,1,0,1,0,1,,55,5,8,10,2,0,0,,5,,7,,8,0,0,1,0,1,0,0,10,1,1,0,0,0,1,0,1,0,48,67,,7,0,14,,,,2,0,7,,3,,1,0,0,,0,0,,,,,,,1,48,83,48,33,2,3,0,0
BOS194404290,1944-04-29,0,BOS07,1,BOS,PHA,1,1,0,0,1,,31,7,10,15,1,2,0,,7,,4,,2,1,0,1,0,1,1,0,5,1,1,1,1,0,0,1,0,0,27,31,,0,0,4,4,0,0,0,0,1,,2,,0,1,0,,0,0,,,,,,,1,27,42,27,14,1,1,0,0
