YEAR,PHASE,RESP_BAT_ID,BAT_FLD_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2006,D,abreb001,9,17,15,5,6,1,0,0,0,4,2,0,2,0,0,0,0,0
2006,D,andem003,7,12,12,4,5,1,0,0,0,1,0,0,1,0,0,0,0,0
2006,D,andem003,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,D,bardj001,2,8,7,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0
2006,D,bardj001,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2006,D,barfj003,4,7,7,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0
2006,D,barfj003,11,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2006,D,bartj001,6,11,11,3,4,1,0,0,0,0,0,0,2,0,0,0,0,0
2006,D,bellm002,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,D,bellr002,4,15,13,6,7,1,0,0,0,2,1,1,0,1,1,0,0,0
2006,D,beltc001,8,14,9,2,2,0,0,0,0,1,5,0,2,0,0,0,0,0
2006,D,betew001,5,10,8,4,8,1,0,1,0,1,2,1,1,0,0,0,0,0
2006,D,blumg001,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,D,blumg001,6,11,6,1,2,1,0,0,0,1,4,1,1,1,0,0,1,0
2006,D,bower002,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,D,bradm001,9,13,13,1,4,0,0,1,0,2,0,0,1,1,0,0,0,0
2006,D,branr001,5,14,13,3,6,1,1,0,0,3,1,0,5,0,0,0,0,0
2006,D,cabrm002,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,D,camem001,8,17,14,2,3,1,0,0,0,1,3,0,7,0,0,0,0,0
2006,D,canor001,4,15,15,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0
2006,D,carpc002,1,6,5,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0
2006,D,cases001,3,17,17,6,9,3,0,0,0,4,0,0,0,0,0,0,0,0
2006,D,castl001,4,14,11,3,3,0,0,0,0,0,3,0,3,0,0,0,0,0
2006,D,chave001,5,12,10,2,6,1,0,1,0,1,2,0,4,0,0,0,0,0
2006,D,chave002,7,4,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2006,D,chave002,9,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,D,cuddm001,9,12,12,3,8,0,1,1,0,1,0,0,2,1,0,0,0,0
2006,D,damoj001,8,18,17,4,7,0,0,1,0,3,1,0,2,0,0,0,0,0
2006,D,delgc001,3,14,14,6,9,0,0,1,0,2,0,0,3,0,0,0,0,0
2006,D,drewj001,9,13,13,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0
2006,D,duncc002,7,8,6,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0
2006,D,ecksd001,6,17,15,2,2,0,0,0,0,1,0,0,0,1,1,1,0,0
