YEAR,RESP_BAT_ID,SITUATION,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2002,aberb001,empty,303,284,62,85,13,2,2,0,2,16,0,24,0,3,0,0,0
2002,aberb001,loaded,14,10,5,5,0,0,0,0,13,1,0,1,0,1,0,2,0
2002,aberb001,menon,201,179,50,59,5,2,0,0,38,9,0,22,8,3,8,2,0
2002,aberb001,scoring,132,113,34,39,3,1,0,0,36,9,0,16,1,2,6,2,0
2002,abreb001,empty,372,321,95,170,28,4,13,0,13,48,0,73,0,3,0,0,0
2002,abreb001,loaded,14,11,2,3,1,0,0,0,9,3,0,3,0,0,0,0,0
2002,abreb001,menon,313,251,81,128,22,2,7,0,72,56,9,44,11,0,0,6,0
2002,abreb001,scoring,188,144,45,80,15,1,6,0,67,38,9,33,3,0,0,6,0
2002,acevj002,empty,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2002,acevj002,menon,8,6,1,2,1,0,0,0,2,0,0,5,0,0,2,0,0
2002,acevj002,scoring,8,6,1,2,1,0,0,0,2,0,0,5,0,0,2,0,0
2002,adamt001,empty,15,13,1,1,0,0,0,0,0,2,0,6,0,0,0,0,0
2002,adamt001,loaded,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2002,adamt001,menon,19,12,1,1,0,0,0,0,1,1,0,7,1,0,6,0,0
2002,adamt001,scoring,13,9,1,1,0,0,0,0,1,1,0,5,1,0,3,0,0
2002,agbab001,empty,90,82,14,24,4,0,2,0,2,8,0,25,0,0,0,0,0
2002,agbab001,loaded,8,8,4,7,0,0,1,1,9,0,0,3,0,0,0,0,0
2002,agbab001,menon,81,72,21,29,2,0,2,1,25,8,1,15,5,0,0,1,0
2002,agbab001,scoring,55,48,16,24,2,0,2,1,25,6,1,10,2,0,0,1,0
2002,ainsk001,empty,5,5,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
2002,ainsk001,menon,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2002,ainsk001,scoring,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,alcai001,empty,20,20,6,12,0,0,2,0,2,0,0,5,0,0,0,0,0
2002,alcai001,menon,12,12,2,3,1,0,0,0,3,0,0,1,0,0,0,0,0
2002,alcai001,scoring,6,6,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0
2002,alfoa001,empty,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,alfoa001,loaded,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2002,alfoa001,menon,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0
2002,alfoa001,scoring,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0
2002,alfoe001,empty,327,288,84,132,18,0,10,0,10,37,0,33,0,2,0,0,0
2002,alfoe001,loaded,8,7,1,1,0,0,0,0,3,1,0,0,1,0,0,0,0
2002,alfoe001,menon,235,202,67,93,8,0,6,0,46,25,8,22,5,5,0,3,0
2002,alfoe001,scoring,123,103,34,46,6,0,2,0,38,16,8,9,1,1,0,3,0
2002,alicl001,empty,150,137,28,34,4,1,0,0,0,13,0,24,0,0,0,0,0
2002,alicl001,loaded,5,3,2,3,1,0,0,0,5,2,0,0,0,0,0,0,0
2002,alicl001,menon,123,100,26,35,4,1,1,0,23,19,1,10,5,1,3,0,0
2002,alicl001,scoring,77,61,17,24,4,0,1,0,22,13,1,7,0,1,2,0,0
2002,allec001,empty,4,4,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
2002,allec001,loaded,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2002,allec001,menon,7,6,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
2002,allec001,scoring,5,4,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
2002,allel001,empty,6,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
2002,allel001,menon,3,3,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0
