YEAR,PHASE,RESP_BAT_ID,SITUATION,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2022,R,abrac001,empty,171,163,38,50,7,1,1,0,1,3,0,29,0,5,0,0,0
2022,R,abrac001,loaded,8,7,2,3,1,0,0,0,5,1,0,1,1,0,0,0,0
2022,R,abrac001,menon,131,121,32,42,5,1,1,0,20,2,0,21,5,4,2,2,0
2022,R,abrac001,scoring,68,62,19,26,2,1,1,0,19,1,0,12,1,2,1,2,0
2022,R,abrej003,empty,357,324,98,136,20,0,6,0,6,28,0,65,0,5,0,0,0
2022,R,abrej003,loaded,13,11,0,0,0,0,0,0,3,0,0,5,2,1,0,1,0
2022,R,abrej003,menon,322,277,85,132,20,0,9,0,69,34,2,45,19,7,0,4,0
2022,R,abrej003,scoring,183,153,41,72,13,0,6,0,59,20,2,23,8,6,0,4,0
2022,D,acunr001,empty,15,13,4,5,1,0,0,0,0,1,0,4,0,1,0,0,0
2022,R,acunr001,empty,342,306,78,121,13,0,10,0,10,28,0,83,0,8,0,0,0
2022,R,acunr001,loaded,6,4,1,1,0,0,0,0,5,1,0,0,0,0,0,1,0
2022,D,acunr001,menon,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2022,R,acunr001,menon,191,161,46,72,11,0,5,0,40,25,4,43,8,2,0,3,0
2022,R,acunr001,scoring,100,82,25,32,4,0,1,0,29,14,4,25,1,1,0,3,0
2022,R,adamr004,empty,99,93,18,30,3,0,3,0,3,6,0,27,0,0,0,0,0
2022,R,adamr004,loaded,4,4,2,2,0,0,0,0,2,0,0,0,1,0,0,0,0
2022,R,adamr004,menon,56,49,7,14,1,0,2,0,7,6,0,19,2,1,0,0,0
2022,R,adamr004,scoring,37,31,5,12,1,0,2,0,7,6,0,16,1,0,0,0,0
2022,R,adamw002,empty,334,306,67,120,14,0,13,0,13,27,0,101,0,1,0,0,0
2022,R,adamw002,loaded,19,16,4,7,0,0,1,1,13,2,0,7,0,0,0,1,0
2022,R,adamw002,menon,283,257,67,138,17,0,18,1,85,22,3,65,11,0,0,4,0
2022,R,adamw002,scoring,154,133,40,76,12,0,8,1,64,17,3,35,3,0,0,4,0
