YEAR,PHASE,RESP_BAT_ID,RESP_BAT_HAND_CD,RESP_PIT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2004,D,ameza001,L,R,3,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
2004,D,andeg001,L,L,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,D,andeg001,L,R,11,11,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0
2004,D,andem003,L,R,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,D,ausmb001,R,R,12,9,3,6,0,0,1,0,1,3,0,3,0,0,0,0,0
2004,D,backb001,R,R,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2004,D,bagwj001,R,L,4,3,1,4,0,0,1,0,1,1,0,1,0,0,0,0,0
2004,D,bagwj001,R,R,21,19,6,11,2,0,1,0,4,2,0,2,1,0,0,0,0
2004,D,bellm002,L,R,14,9,1,1,0,0,0,0,0,5,0,4,0,0,0,0,0
2004,D,bellm002,R,L,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,D,belta001,R,L,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,D,belta001,R,R,14,13,4,4,0,0,0,0,1,0,0,3,0,0,0,1,0
2004,D,beltc001,L,R,21,19,10,24,2,0,4,0,9,1,0,2,0,1,0,0,0
2004,D,beltc001,R,L,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2004,D,berkl001,L,R,19,16,6,9,0,0,1,0,2,3,0,4,0,0,0,0,0
2004,D,berkl001,R,L,6,6,3,4,1,0,0,0,1,0,0,2,0,0,0,0,0
2004,D,biggc001,R,L,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2004,D,biggc001,R,R,19,18,8,13,2,0,1,0,4,1,0,4,0,0,0,0,0
2004,D,blanh001,R,R,10,8,2,5,0,0,1,0,2,0,0,2,1,0,1,1,0
2004,D,bordp001,R,R,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,D,bradm001,L,R,15,10,3,7,1,0,1,0,1,5,0,2,1,0,0,0,0
2004,D,bradm001,R,L,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,D,brune001,R,R,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2004,D,byrdp001,R,R,2,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
2004,D,cabro001,R,L,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2004,D,cabro001,R,R,13,12,2,3,1,0,0,0,3,1,0,2,0,0,0,0,0
2004,D,cairm001,R,L,7,6,2,3,1,0,0,0,0,0,0,2,0,0,1,0,0
2004,D,cairm001,R,R,10,8,1,1,0,0,0,0,1,2,0,3,0,0,0,0,0
2004,D,ceder001,L,R,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,D,chavr001,R,L,2,2,2,5,0,0,1,0,1,0,0,0,0,0,0,0,0
2004,D,chavr001,R,R,4,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2004,D,choih001,L,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,D,clart002,L,R,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,D,clemr001,R,R,5,3,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
2004,D,coraa001,L,L,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,D,coraa001,L,R,15,14,2,4,0,1,0,0,1,0,0,3,2,1,0,0,0
2004,D,cuddm001,R,R,15,15,7,7,0,0,0,0,2,0,0,3,0,0,0,0,0
2004,D,damoj001,L,L,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,D,damoj001,L,R,13,12,7,8,1,0,0,0,0,1,0,1,0,0,0,0,0
2004,D,davaj001,L,R,11,10,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0
2004,D,davaj001,R,L,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2004,D,drewj001,L,L,3,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
2004,D,drewj001,L,R,21,18,4,4,0,0,0,0,1,3,0,5,0,0,0,0,0
2004,D,ecksd001,R,R,12,12,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,D,edmoj001,L,L,6,5,1,4,0,0,1,0,2,1,0,4,0,0,0,0,0
2004,D,edmoj001,L,R,10,10,3,3,0,0,0,0,0,0,0,5,0,0,0,0,0
2004,D,ensbm001,R,L,4,3,1,2,1,0,0,0,2,1,0,0,0,0,0,0,0
2004,D,ensbm001,R,R,18,16,6,7,1,0,0,0,3,2,0,1,1,0,0,0,0
2004,D,erstd001,L,R,14,10,5,9,1,0,1,0,2,3,0,1,0,1,0,0,0
2004,D,estrj001,L,R,19,15,4,10,0,0,2,0,3,3,0,3,0,0,0,1,0
2004,D,estrj001,R,L,2,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0
2004,D,figgc001,L,R,15,14,2,2,0,0,0,0,0,0,0,5,0,1,0,0,0
2004,D,finls001,L,L,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,D,finls001,L,R,13,12,2,3,1,0,0,0,2,1,0,0,0,0,0,0,0
2004,D,fordl001,R,L,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2004,D,fordl001,R,R,12,11,3,4,1,0,0,0,2,0,0,2,0,1,0,0,0
2004,D,franj002,R,R,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,D,furcr001,L,R,24,19,7,15,0,1,2,0,4,3,0,2,0,1,1,0,0
2004,D,furcr001,R,L,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,D,gilem001,R,R,24,24,3,3,0,0,0,0,1,0,0,6,0,0,0,0,0
2004,D,glaut001,R,L,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,D,glaut001,R,R,12,10,4,12,2,0,2,0,3,2,0,4,0,0,0,0,0
2004,D,grabj001,L,R,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2004,D,grees001,L,L,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,D,grees001,L,R,13,13,4,13,0,0,3,0,3,0,0,2,0,0,0,0,0
2004,D,guerv001,R,R,14,12,2,5,0,0,1,1,6,2,1,4,0,0,0,0,0
2004,D,guzmc001,L,R,17,15,5,5,0,0,0,0,0,2,0,3,0,0,0,0,0
2004,D,hampm001,R,R,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,D,hared001,R,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,D,hernj001,R,R,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2004,D,huntt001,R,R,19,17,6,10,1,0,1,0,2,1,0,1,0,0,0,1,0
2004,D,iztuc001,L,R,18,17,3,4,1,0,0,0,0,1,0,2,0,0,0,0,0
2004,D,jeted001,R,L,8,8,3,4,1,0,0,0,0,0,0,2,1,0,0,0,0
2004,D,jeted001,R,R,13,11,3,6,0,0,1,0,4,1,0,2,0,0,1,0,0
2004,D,jonea002,R,R,21,19,10,18,2,0,2,0,5,2,0,3,1,0,0,0,0
2004,D,jonec004,L,R,21,18,4,4,0,0,0,0,0,3,0,2,1,0,0,0,0
2004,D,jonec004,R,L,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,D,jonej003,L,R,20,20,6,13,1,0,2,0,2,0,0,6,2,0,0,0,0
2004,D,kaplg001,R,L,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,D,kaplg001,R,R,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,D,kentj001,R,L,6,5,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
2004,D,kentj001,R,R,18,17,4,7,3,0,0,0,2,1,0,4,1,0,0,0,0
2004,D,koskc001,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2004,D,koskc001,L,R,18,13,4,5,1,0,0,0,2,3,0,2,0,1,0,1,0
2004,D,kotcc001,L,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,D,kubej002,L,R,7,7,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0
2004,D,lambm001,L,R,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2004,D,lanej001,R,R,5,5,3,6,0,0,1,0,2,0,0,1,0,0,0,0,0
2004,D,laroa001,L,R,19,17,4,8,1,0,1,0,4,2,0,5,1,0,0,0,0
2004,D,lecrm001,R,R,4,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
