YEAR,RESP_BAT_ID,RESP_BAT_HAND_CD,RESP_PIT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2012,abadf001,L,L,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012,abadf001,L,R,6,6,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0
2012,abreb001,L,L,50,45,12,17,2,0,1,0,5,5,1,15,0,0,0,0,0
2012,abreb001,L,R,207,174,41,58,9,1,2,0,19,32,2,41,7,0,0,1,0
2012,abret001,L,R,45,41,12,18,1,1,1,0,11,2,0,8,1,1,0,1,0
2012,abret001,R,L,29,29,6,7,1,0,0,0,4,0,0,5,0,0,0,0,0
2012,ackld001,L,L,233,211,52,77,5,1,6,0,20,20,0,44,2,0,1,1,0
2012,ackld001,L,R,435,396,85,122,17,1,6,0,30,39,7,80,1,0,0,0,0
2012,adamm002,L,L,21,20,3,5,2,0,0,0,0,1,0,6,1,0,0,0,0
2012,adamm002,L,R,70,66,18,28,4,0,2,0,13,4,0,18,2,0,0,0,0
2012,adcon001,R,R,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,affej001,L,L,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,alleb001,L,R,22,20,2,5,0,0,1,0,3,2,0,9,0,0,0,0,0
2012,alony001,L,L,169,153,40,56,13,0,1,0,16,14,0,28,2,1,1,0,0
2012,alony001,L,R,450,396,110,160,26,0,8,1,46,48,9,73,12,2,0,4,0
2012,altuj001,R,L,169,156,56,79,15,1,2,0,5,10,0,17,1,2,1,0,0
2012,altuj001,R,R,461,420,111,151,19,3,5,0,32,30,0,57,7,4,3,4,0
2012,alvah001,R,L,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,alvap001,L,L,152,140,29,53,6,0,6,0,23,11,0,58,4,1,0,0,0
2012,alvap001,L,R,434,385,99,192,19,1,24,1,62,46,6,122,6,0,0,3,0
2012,amara001,L,L,69,64,17,26,3,3,0,0,2,3,0,14,2,0,2,0,0
2012,amara001,L,R,231,211,49,80,12,2,5,1,30,14,1,28,0,0,4,2,0
2012,andeb005,L,L,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,andeb005,L,R,13,11,2,3,1,0,0,0,0,1,0,6,0,1,0,0,0
2012,andel002,L,L,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,andel002,L,R,7,7,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
2012,andir001,R,L,141,125,27,39,6,0,2,0,10,13,0,29,1,1,2,0,0
2012,andir001,R,R,290,259,54,78,7,1,5,0,18,24,0,71,12,1,5,1,0
2012,andre001,R,L,189,170,45,61,10,3,0,0,15,16,0,23,4,0,3,0,0
2012,andre001,R,R,522,459,135,177,21,6,3,0,47,41,0,73,11,5,14,3,0
2012,ankir001,L,L,23,23,4,6,2,0,0,0,1,0,0,10,0,0,0,0,0
2012,ankir001,L,R,148,135,32,59,8,2,5,0,14,12,3,49,3,0,1,0,0
2012,aokin001,L,L,202,185,50,72,14,1,2,0,12,9,0,17,2,5,3,0,0
2012,aokin001,L,R,386,335,100,153,23,3,8,0,38,34,1,38,4,8,4,5,0
2012,archc001,R,R,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,arenj001,R,L,95,90,22,45,5,0,6,0,17,4,0,28,1,0,0,1,0
2012,arenj001,R,R,277,257,59,106,11,0,12,1,39,14,1,80,3,3,1,2,0
2012,ariaj001,R,L,163,152,46,66,5,3,3,0,15,7,4,19,5,1,1,2,0
2012,ariaj001,R,R,181,167,40,58,8,2,2,0,19,6,0,25,7,4,1,3,0
2012,arrij001,R,R,4,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
2012,arrob001,R,L,14,11,2,6,1,0,1,0,1,0,0,6,0,0,3,0,0
2012,arrob001,R,R,57,52,7,7,0,0,0,0,2,1,0,22,1,0,3,1,0
2012,averx001,L,L,21,16,2,3,1,0,0,0,0,5,0,6,0,0,0,0,0
2012,averx001,L,R,86,78,19,29,5,1,1,0,6,6,0,17,2,0,2,0,0
2012,avila001,L,L,103,85,15,20,2,0,1,0,9,16,0,30,4,0,1,1,0
2012,avila001,L,R,331,282,74,121,19,2,8,0,39,45,2,74,8,2,1,1,0
2012,avill001,L,L,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,avill001,L,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
