YEAR,RESP_BAT_ID,RESP_PIT_ID,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1999,abboj001,batim001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abboj001,bohab001,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1999,abboj001,bottk001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abboj001,hitcs001,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1999,abboj001,leita001,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1999,abboj001,liebj001,5,5,2,2,0,0,0,0,3,0,0,1,0,0,0,0,0
1999,abboj001,maddg002,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1999,abboj001,merck001,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abboj001,ogeac001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abboj001,stott001,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1999,abboj001,tomkb001,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1999,abboj002,alvaw001,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abboj002,appik001,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abboj002,barbb002,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abboj002,belct001,2,2,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0
1999,abboj002,charn001,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
1999,abboj002,corsj001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1999,abboj002,erics001,3,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1999,abboj002,fassj001,6,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1999,abboj002,finlc001,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1999,abboj002,guzmj003,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1999,abboj002,hincb001,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1999,abboj002,lopea002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abboj002,martp001,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1999,abboj002,mecij001,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1999,abboj002,molig001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abboj002,moyej001,6,5,1,4,0,0,1,0,1,1,0,2,0,0,0,0,0
1999,abboj002,perct001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abboj002,petkm001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abboj002,pittj002,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abboj002,rekab001,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1999,abboj002,rhoda001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abboj002,rosaj001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abboj002,santj002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abboj002,saunt001,3,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0
1999,abboj002,schos001,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abboj002,servs001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abboj002,spars001,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abboj002,suzum001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abboj002,weave001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abboj002,wengd001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abboj002,witaj001,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1999,abboj002,yan-e001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,alfoa001,2,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,almac001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,almoh001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,andeb002,7,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,andej002,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1999,abbok002,arnoj001,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,ashba002,4,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,barkr001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,batim001,2,2,1,4,0,0,1,0,3,0,0,1,0,0,0,0,0
1999,abbok002,beckr001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,benea001,6,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,benia001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,benns001,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,boehb001,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,bowim001,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
