YEAR,PHASE,RESP_BAT_ID,RESP_PIT_ID,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2006,D,abreb001,bondj001,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,D,abreb001,roben001,4,4,2,3,1,0,0,0,4,0,0,0,0,0,0,0,0
2006,D,abreb001,rogek001,4,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
2006,D,abreb001,verlj001,3,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2006,D,abreb001,walkj001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,D,abreb001,zumaj001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,D,andem003,felip002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,D,andem003,glavt001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,D,andem003,heila001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,D,andem003,mainj001,2,2,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0
2006,D,andem003,motag001,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,D,andem003,olivd001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,D,andem003,tracs001,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,D,andem003,wagnb001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,D,bardj001,carpc002,3,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2006,D,bardj001,johnt002,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2006,D,bardj001,kinnj001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,D,bardj001,waina001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,D,bardj001,weavj002,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,D,barfj003,carpc002,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,D,barfj003,florr001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
