YEAR,PHASE,RESP_PIT_ID,SITUATION,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2004,R,aardd001,empty,22,17,5,7,2,0,0,0,0,4,0,1,0,1,0,0,0
2004,R,aardd001,loaded,6,5,1,1,0,0,0,0,3,0,0,2,0,0,0,1,0
2004,R,aardd001,menon,39,31,15,21,3,0,1,0,11,6,0,4,1,1,0,1,0
2004,R,aardd001,scoring,27,21,10,14,1,0,1,0,11,5,0,2,1,0,0,1,0
2004,R,abbop001,empty,260,225,54,97,7,0,12,0,12,35,0,29,0,0,0,0,0
2004,R,abbop001,loaded,9,8,3,7,1,0,1,1,9,1,0,2,0,0,0,0,0
2004,R,abbop001,menon,191,162,52,94,12,0,10,1,51,23,1,17,3,4,1,1,0
2004,R,abbop001,scoring,100,83,28,56,7,0,7,1,43,16,1,8,0,0,0,1,0
2004,R,acevj002,empty,393,375,110,193,27,1,18,0,18,15,0,74,0,3,0,0,0
2004,R,acevj002,loaded,15,10,3,6,0,0,1,1,12,1,0,2,1,0,0,4,0
2004,R,acevj002,menon,311,269,78,138,24,0,12,1,81,30,8,43,10,2,3,7,0
2004,R,acevj002,scoring,183,150,45,81,12,0,8,1,69,22,8,21,3,2,2,7,0
2004,R,adamm001,empty,101,96,26,38,6,0,2,0,2,5,0,16,0,0,0,0,0
2004,R,adamm001,loaded,7,7,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0
2004,R,adamm001,menon,124,106,24,36,3,0,3,0,23,9,2,23,3,2,5,2,0
2004,R,adamm001,scoring,80,66,15,24,3,0,2,0,21,8,2,15,0,2,2,2,0
2004,R,adamt001,empty,155,147,44,71,7,1,6,0,6,8,0,32,0,0,0,0,0
2004,R,adamt001,loaded,18,14,4,8,1,0,1,1,16,2,0,0,2,1,0,1,0
2004,R,adamt001,menon,161,131,40,56,4,0,4,1,45,20,3,24,8,2,3,5,0
2004,R,adamt001,scoring,111,88,26,34,2,0,2,1,41,15,3,17,4,2,1,5,0
2004,R,adkij001,empty,148,138,44,80,3,0,11,0,11,10,0,25,0,0,0,0,0
2004,R,adkij001,loaded,7,6,3,4,1,0,0,0,7,1,0,0,1,0,0,0,0
2004,R,adkij001,menon,123,108,31,44,7,0,2,0,25,10,3,19,10,1,3,1,0
2004,R,adkij001,scoring,63,52,17,29,6,0,2,0,25,7,3,8,3,1,2,1,0
2004,R,affej001,empty,173,153,44,71,11,2,4,0,4,18,0,25,0,2,0,0,0
2004,R,affej001,loaded,9,6,1,2,1,0,0,0,6,1,0,1,0,0,0,2,0
2004,R,affej001,menon,171,148,47,69,16,0,2,0,41,14,2,24,10,1,4,4,0
