YEAR,PHASE,RESP_PIT_ID,RESP_PIT_HAND_CD,RESP_BAT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1989,L,ackej001,R,L,8,7,2,3,1,0,0,0,2,0,0,1,0,0,0,1,0
1989,L,ackej001,R,R,17,14,2,3,1,0,0,0,2,1,0,3,0,1,1,0,0
1989,L,assep001,L,L,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,L,assep001,L,R,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,L,bedrs001,R,L,7,6,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0
1989,L,bedrs001,R,R,9,8,2,2,0,0,0,0,1,1,0,1,0,0,0,0,0
1989,L,bielm001,R,L,27,24,5,8,1,1,0,0,0,3,0,8,0,0,0,0,0
1989,L,bielm001,R,R,22,17,2,5,0,0,1,0,3,3,0,3,0,0,1,1,0
1989,L,branj001,R,L,4,3,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
1989,L,branj001,R,R,13,12,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0
1989,L,ceruj001,L,L,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1989,L,ceruj001,L,R,7,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
1989,L,davis001,R,L,19,18,5,7,2,0,0,0,2,1,0,2,0,0,0,0,0
1989,L,davis001,R,R,6,4,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0
1989,L,downk001,R,L,7,6,2,3,1,0,0,0,0,1,1,0,0,0,0,0,0
1989,L,downk001,R,R,30,25,6,6,0,0,0,0,3,5,0,6,1,0,0,0,0
1989,L,ecked001,R,L,14,14,3,3,0,0,0,0,3,0,0,2,0,0,0,0,0
1989,L,ecked001,R,R,6,5,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0
1989,L,flanm001,L,L,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1989,L,flanm001,L,R,17,15,7,17,1,0,3,0,5,1,0,2,0,0,1,0,0
1989,L,garrs001,R,L,15,13,5,10,0,1,1,0,4,1,0,1,0,0,0,1,0
1989,L,garrs001,R,R,38,37,11,22,3,1,2,0,3,1,0,7,0,0,0,0,0
1989,L,hamma001,L,R,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,L,henkt001,R,L,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1989,L,henkt001,R,R,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
